,Unnamed: 0,artist,date,ranking,title
2107,32291,Aly,2006-03-04,92,Rush
2165,33091,Angels And Airwaves,2006-04-29,92,The Adventure
2204,33642,Chris Daughtry,2006-06-10,43,Wanted Dead Or Alive
2211,33697,Busta Rhymes,2006-06-10,98,I Love My B****
2214,33785,Mary J. Blige And U2,2006-06-17,86,One
2234,34072,Janet Duet With Nelly,2006-07-08,73,Call On Me
2265,34485,30 Seconds To Mars,2006-08-05,86,The Kill (Bury Me)
2282,34705,Sean Paul Feat. Keyshia Cole,2006-08-26,6,(When You Gonna) Give It Up To Me
2324,35269,Aly,2006-09-30,70,Chemicals React
2353,35680,Lady Sovereign,2006-10-28,81,Love Me Or Hate Me (F**k You!!!!)
2358,35777,Tenacious D,2006-11-04,78,The Pick Of Destiny
2398,36295,Aly,2006-12-09,96,Greatest Time Of Year
2456,37094,30 Seconds To Mars,2007-02-03,95,From Yesterday
2463,37199,Musiq Soulchild,2007-02-10,100,Buddy
2471,37282,The Naked Brothers Band,2007-02-17,83,Crazy Car
2488,37489,Bow Wow Or R. Kelly (,2007-03-03,90,I'm A Flirt
2492,37574,R. Kelly Or Bow Wow (,2007-03-10,75,I'm A Flirt
2496,37597,Huey,2007-03-10,98,Pop Lock And Drop It
2500,37673,Dixie Chicks,2007-03-17,74,The Neighbor
2524,37994,Pink,2007-04-07,95,Who Knew
2541,38183,Maroon5,2007-04-21,84,Makes Me Wonder
2568,38455,Kelly Clarkson,2007-05-12,56,Up To The Mountain
2577,38576,Freak Nasty,2007-05-19,77,Do It Just Like A Rockstar
2582,38668,Down A.K.A. Kilo,2007-05-26,69,Lean Like A Cholo
2584,38678,R. Kelly Duet With Usher,2007-05-26,79,Same Girl
2593,38732,Enrique Iglesias,2007-06-02,33,Do You Know? (The Ping Pong Song)/Dimelo
2595,38792,Tim McGraw With Faith Hill,2007-06-02,93,I Need You
2601,38817,Blake Lewis,2007-06-09,18,You Give Love A Bad Name
2604,38865,Jordin Sparks,2007-06-09,66,A Broken Wing
2606,38879,Jordin Sparks,2007-06-09,80,I Who Have Nothing
2610,38898,Blake Lewis,2007-06-09,99,Time Of The Season
2635,39351,Reba McEntire Duet With Kelly Clarkson,2007-07-14,52,Because Of You
2652,39605,High School Musical 2 Cast,2007-08-04,6,What Time Is It
2655,39687,Cast Of Hairspray,2007-08-04,88,You Can't Stop The Beat
2679,40037,Zac Efron And Vanessa Anne Hudgens,2007-09-01,38,You Are The Music In Me
2681,40059,Zac Efron And Vanessa Anne Hudgens,2007-09-01,60,Gotta Go My Own Way
2682,40065,Zac Efron,2007-09-01,66,Bet On It
2683,40073,Corbin Bleu And Lucas Grabeel,2007-09-01,74,I Don't Dance
2684,40089,Zac Efron And Vanessa Anne Hudgens,2007-09-01,90,Everyday
2685,40091,High School Musical 2 Cast,2007-09-01,92,All For One
2687,40130,Zac Efron/Vanessa Anne Hudgens,2007-09-08,31,You Are The Music In Me
2688,40133,Zac Efron/Vanessa Anne Hudgens,2007-09-08,34,Gotta Go My Own Way
2689,40164,Zac Efron/Vanessa Anne Hudgens,2007-09-08,65,Everyday
2690,40175,Ashley Tisdale And Lucas Grabeel,2007-09-08,76,Fabulous
2707,40397,Zac Efron,2007-09-22,98,You Are The Music In Me
2708,40401,Soulja Boy Tell'em,2007-09-29,2,Crank That (Soulja Boy)
2710,40460,Feist,2007-09-29,61,"1, 2, 3, 4"
2728,40690,Keyshia Cole Introducing Amina,2007-10-13,91,Shoulda Let You Go
2732,40727,Justin Timberlake Duet With Beyonce,2007-10-20,28,Until The End Of Time
2734,40771,Soulja Boy Tell'em,2007-10-20,72,Soulja Girl
2744,40895,Billy Ray Cyrus With Miley Cyrus,2007-10-27,96,"Ready, Set, Don't Go"
2800,41869,Alvin And The Chipmunks,2008-01-05,70,The Chipmunk Song (Christmas Don't Be Late) (2007)
2806,41961,Alvin And The Chipmunks,2008-01-12,62,Witch Doctor (2007)
2812,41999,Miranda Cosgrove,2008-01-12,100,Leave It All To Me (iCarly Theme Song)
2819,42094,Jordin Sparks Duet With Chris Brown,2008-01-19,95,No Air
2836,42366,Kenny Chesney Duet With George Strait,2008-02-09,67,Shiftwork
2837,42371,Aly,2008-02-09,72,Like Whoa
2838,42380,Michael Jackson With Akon,2008-02-09,81,Wanna Be Startin' Somethin' 2008
2847,42485,Soulja Boy Tell'em,2008-02-16,86,YAHHH!
