,artist,date,ranking,title
5178,Garth Brooks,2000-12-23,79,Wild Horses
5180,Keith Urban,2000-12-23,81,But For The Grace Of God
5184,LeAnn Rimes,2000-12-23,85,Can't Fight The Moonlight
5185,Lil' Kim,2000-12-23,86,How Many Licks?
5186,Bon Jovi,2000-12-23,87,It's My Life
5194,Ja Rule,2000-12-23,95,Put It On Me
5195,De La Soul,2000-12-23,96,All Good?
5196,Mos Def,2000-12-23,97,Oh No
5267,NewSong,2000-12-30,68,The Christmas Shoes
5268,BBMak,2000-12-30,69,Still On Your Side
5276,Toby Keith,2000-12-30,77,You Shouldn't Kiss Me Like This
5279,Xzibit,2000-12-30,80,X
5280,Shaggy,2000-12-30,81,Angel
5289,Boyz II Men,2000-12-30,90,Thank You In Advance
5297,Sunday,2000-12-30,98,I Know
5364,Faith Hill,2001-01-06,65,Where Are You Christmas?
5367,Pink,2001-01-06,68,You Make Me Sick
5372,Joe,2001-01-06,73,Stutter
5374,Crazy Town,2001-01-06,75,Butterfly
5392,A*Teens,2001-01-06,93,Bouncing Off The Ceiling
5394,Modjo,2001-01-06,95,Lady (Hear Me Tonight)
5396,Mr. C The Slide Man,2001-01-06,97,Cha-Cha Slide
5401,"Shaggy Feat. Ricardo ""RikRok"" Ducent",2001-01-13,2,It Wasn't Me
5417,P!nk,2001-01-13,18,Most Girls
5466,P!nk,2001-01-13,67,You Make Me Sick
5478,Tamia,2001-01-13,79,Stranger In My House
5479,Dido,2001-01-13,80,Thank You
5492,A*Teens,2001-01-13,93,Bouncing Off The Ceiling (Upside Down)
5497,Koffee Brown,2001-01-13,98,After Party
5540,Musiq Soulchild,2001-01-20,41,Just Friends (Sunny)
5574,Sade,2001-01-20,75,By Your Side
5575,Darryl Worley,2001-01-20,76,A Good Day To Run
5578,Diamond Rio,2001-01-20,79,One More Day
5585,Ludacris,2001-01-20,86,Southern Hospitality
5657,Aerosmith,2001-01-27,58,Jaded
5665,Ricky Martin With Christina Aguilera,2001-01-27,66,Nobody Wants To Be Lonely
5675,Dave Matthews Band,2001-01-27,76,I Did It
5678,Jessica Andrews,2001-01-27,79,Who I Am
5680,The Corrs,2001-01-27,81,Breathless
5681,Aaron Lewis Of Staind With Fred Durst,2001-01-27,82,Outside
5696,Bilal,2001-01-27,97,Soul Sista
5697,Carolyn Dawn Johnson,2001-01-27,98,Georgia
5774,Mya,2001-02-03,75,Free
5776,Snoop Dogg,2001-02-03,77,Snoop Dogg
5779,Faith Hill,2001-02-03,80,If My Heart Had Wings
5794,Trick Pony,2001-02-03,95,Pour Me
5796,Baha Men With Imani Coppola,2001-02-03,97,You All Dat
5798,Jay-Z,2001-02-03,99,Change The Game
5852,ATC,2001-02-10,53,Around The World (La La La La La)
5875,Lifehouse,2001-02-10,76,Hanging By A Moment
5877,Jill Scott,2001-02-10,78,A Long Walk
5880,Linkin Park,2001-02-10,81,One Step Closer
5888,Daft Punk,2001-02-10,89,One More Time
5891,Case,2001-02-10,92,Missing You
5959,Backstreet Boys,2001-02-17,60,The Call
5967,Bon Jovi,2001-02-17,68,Thank You For Loving Me
5972,Eve,2001-02-17,73,Who's That Girl?
5974,Incubus,2001-02-17,75,Drive
