,artist,date,ranking,title
47790,Carolina Liar,2009-02-21,91,Show Me What I'm Looking For
47793,Jesse McCartney,2009-02-21,94,How Do You Sleep?
47794,Bruce Springsteen,2009-02-21,95,Working On A Dream
47796,Keyshia Cole,2009-02-21,97,You Complete Me
47798,Jazmine Sullivan,2009-02-21,99,"Lions, Tigers & Bears"
47839,Coldplay With Jay-Z,2009-02-28,40,Lost!
47852,50 Cent,2009-02-28,53,I Get It In
47854,Asher Roth,2009-02-28,55,I Love College
47867,Lily Allen,2009-02-28,68,F*** You
47885,The Lonely Island,2009-02-28,86,I'm On A Boat
47890,Lily Allen,2009-02-28,91,The Fear
47891,Carrie Underwood,2009-02-28,92,I Told You So
47896,Tim McGraw,2009-02-28,97,Nothin' To Die For
47908,Soulja Boy Tell 'em,2009-03-07,9,Kiss Me Thru The Phone
47994,Spectacular! Cast,2009-03-07,95,Break My Heart
47995,Ciara,2009-03-07,96,Never Ever
47997,Rodney Atkins,2009-03-07,98,It's America
47999,A.R. Rahman,2009-03-07,100,Jai Ho! (You Are My Destiny)
48014,A R Rahman,2009-03-14,15,Jai Ho! (You Are My Destiny)
48046,Brooke White,2009-03-14,47,Hold Up My Heart
48053,Maino,2009-03-14,54,All The Above
48056,Flo Rida,2009-03-14,57,Shone
48057,Bobby V,2009-03-14,58,Beep
48065,Pitbull,2009-03-14,66,I Know You Want Me (Calle Ocho)
48083,Jonas Brothers,2009-03-14,84,Love Is On Its Way
48088,Rascal Flatts,2009-03-14,89,Here Comes Goodbye
48089,John Rich,2009-03-14,90,Shuttin' Detroit Down
48091,Jennifer Hudson,2009-03-14,92,If This Isn't Love
48092,M.I.A.,2009-03-14,93,O...Saya
48097,Martina McBride,2009-03-14,98,Ride
48098,K'Naan,2009-03-14,99,Wavin' Flag
48105,Miley Cyrus,2009-03-21,6,The Climb
48172,LMFAO,2009-03-21,73,I'm In Miami Trick
48178,U2,2009-03-21,79,Magnificent
48181,The-Dream,2009-03-21,82,My Love
48186,Mike Jones,2009-03-21,87,Next To You
48187,Rick Ross,2009-03-21,88,Magnificent
48189,Bow Wow,2009-03-21,90,You Can Get It All
48190,MGMT,2009-03-21,91,Kids
48192,The White Tie Affair,2009-03-21,93,Candle (Sick And Tired)
48195,Lady GaGa,2009-03-21,96,LoveGame
48196,Sugarland,2009-03-21,97,It Happens
48197,Soulja Boy Tell'em,2009-03-21,98,Turn My Swag On
48198,Trace Adkins,2009-03-21,99,Marry For Money
48220,Carrie Underwood,2009-03-28,21,Home Sweet Home
48250,Keith Urban,2009-03-28,51,Kiss A Girl
