,year,band_singer,ranking,song,songurl,url
523,1998,Faith Hill,25.0,This Kiss,/wiki/This_Kiss_(Faith_Hill_song),/wiki/Faith_Hill
543,1998,Uncle Sam,26.0,I Don't Ever Want to See You Again,/wiki/I_Don%27t_Ever_Want_to_See_You_Again,/wiki/Uncle_Sam_(singer)
563,1998,Montell Jordan,27.0,Let's Ride,/wiki/Let%27s_Ride_(Montell_Jordan_song),/wiki/Montell_Jordan
583,1998,Master P,27.0,Let's Ride,/wiki/Let%27s_Ride_(Montell_Jordan_song),/wiki/Master_P
603,1998,Silkk the Shocker,27.0,Let's Ride,/wiki/Let%27s_Ride_(Montell_Jordan_song),/wiki/Silkk_the_Shocker
623,1998,Marcy Playground,28.0,Sex and Candy,/wiki/Sex_and_Candy,/wiki/Marcy_Playground
643,1998,Robyn,29.0,Show Me Love,/wiki/Show_Me_Love_(Robyn_song),/wiki/Robyn
663,1998,Boyz II Men,30.0,A Song for Mama,/wiki/A_Song_for_Mama,/wiki/Boyz_II_Men
683,1998,Mase,31.0,What You Want,/wiki/What_You_Want_(Mase_song),/wiki/Mase
703,1998,Total,31.0,What You Want,/wiki/What_You_Want_(Mase_song),/wiki/Total_(group)
723,1998,Madonna,32.0,Frozen,/wiki/Frozen_(Madonna_song),/wiki/Madonna_(entertainer)
743,1998,Wyclef Jean,33.0,Gone till November,/wiki/Gone_till_November,/wiki/Wyclef_Jean
763,1998,LSG,34.0,My Body,/wiki/My_Body_(LSG_song),/wiki/LSG
783,1998,Chumbawamba,35.0,Tubthumping,/wiki/Tubthumping,/wiki/Chumbawamba
803,1998,Lord Tariq and Peter Gunz,36.0,Deja Vu (Uptown Baby),/wiki/Deja_Vu_(Uptown_Baby),/wiki/Lord_Tariq_and_Peter_Gunz
823,1998,'N Sync,37.0,I Want You Back,/wiki/I_Want_You_Back_(%27N_Sync_song),/wiki/%27N_Sync
843,1998,Five,38.0,When the Lights Go Out,/wiki/When_the_Lights_Go_Out,/wiki/Five_(band)
863,1998,Jon B.,39.0,They Don't Know,/wiki/They_Don%27t_Know_(Jon_B_song),/wiki/Jon_B.
883,1998,Master P,40.0,Make 'Em Say Uhh!,/wiki/Make_%27Em_Say_Uhh!,/wiki/Master_P
903,1998,Fiend,40.0,Make 'Em Say Uhh!,/wiki/Make_%27Em_Say_Uhh!,/wiki/Fiend_(rapper)
923,1998,Silkk the Shocker,40.0,Make 'Em Say Uhh!,/wiki/Make_%27Em_Say_Uhh!,/wiki/Silkk_the_Shocker
943,1998,Mia X,40.0,Make 'Em Say Uhh!,/wiki/Make_%27Em_Say_Uhh!,/wiki/Mia_X
963,1998,Mystikal,40.0,Make 'Em Say Uhh!,/wiki/Make_%27Em_Say_Uhh!,/wiki/Mystikal
983,1998,Nicole,41.0,Make It Hot,/wiki/Make_It_Hot_(Nicole_Wray_song),/wiki/Nicole_Wray
